ルール,,下記の表に従い、基準を満たしているか,,,,,,,,,,,,,,,
,,デバイス,幅,,,マージン,,,フォント,,,,,,,,
,,,基準,ブレイクポイント,コンテンツ,サイド,セクション上下,パディング,H1,H2,H3,H4,H5,H6,P1,P2,P3
,FALSE,デスクトップ,"1,512 px","1,500 px ?","1,200 ? 1,412 px（固定）",3.3 %（50px）?,100 ? 50 px,10 ? 50 px,40 ? 30 px,30 ? 26 px,26 ? 24 px,24 ? 22 px,22 ? 20 px,20 ? 18 px,16 ? 14 px,14 ?12 px,12 ? 10 px
,FALSE,ラップトップ,"1,280 px","1,000 ? 1,499 px","? 96 %（1,000 ? 1,200 px）",? 3 %（40px）,100 ? 50 px,10 ? 50 px,,,,,,,,,
,FALSE,タブレット,768 px,700 ? 999 px,? 92 %（800 ? 708 px）,? 4 %（30px）,70 ? 40 px,10 ? 30 px,,,,,,,,,
,FALSE,スマートフォン,390 px,320 ? 699 px,92 % ?（358 ? 370 px）,? 4 %（16px）,50 ? 30 px,4 ? 10 px,,,,,,,,,
,,,,,,,,,,,,,,,,,
ビジュアル,,項目,,,,,,,備考,,,,,,,,
,FALSE,1カラムだけではなく、2?4カラムを適所に配置して、ページ全体に動きをつけているか,,,,,,,,,,,,,,,
,FALSE,ファーストビューは100vhが適正か,,,,,,,背景や要素が質素で間延びしていたり、以下コンテンツの情報が重要である場合は最小限の縦幅の方が良い,,,,,,,,
,FALSE,ページ全体として、バランス良い余白や素材配置はなされているか,,,,,,,,,,,,,,,
カラー配色,FALSE,デザイン内で使用するメインカラー・キーカラーは3種類程度に抑えているか,,,,,,,文字色や背景色などは除く,,,,,,,,
,FALSE,特に視認性が必要な箇所についてのコントラスト比が4.5:1になっているか,,,,,,,,,,,,,,,
,FALSE,ブランドやサービスに合ったカラーリングを選定しているか,,,,,,,適切なトンマナを設定できているか,,,,,,,,
,FALSE,特別な場合を除き、カラー展開の彩度や明度が統一されたものであるか,,,,,,,,,,,,,,,
フォント,FALSE,サイトをリーチさせたいターゲット層が視認できるフォントを選定しているか,,,,,,,一部の明朝体やローマン体などは、文字の中で細い部分があるため,,,,,,,,
,FALSE,ブランドやサービスに合ったフォントを選定しているか,,,,,,,,,,,,,,,
,FALSE,フォントに縁をつけたり、枠をつけたりした場合の、視認性や可読性は担保されているか,,,,,,,,,,,,,,,
アイコン,FALSE,あらゆるユーザーが理解できるユニバーサルデザインのアイコンを選定しているか,,,,,,,,,,,,,,,
,FALSE,アイコンと文字情報の内容が連動しているか,,,,,,,,,,,,,,,
,FALSE,トンマナに則したアイコンデザインになっているか,,,,,,,,,,,,,,,
シェイプ,FALSE,余白への収まりや全体のレイアウトとのバランスを考慮して、整形や処理を行なっているか,,,,,,,,,,,,,,,
,FALSE,シェイプの上に文字情報を載せている場合、文字情報を邪魔しない形に抑えているか,,,,,,,,,,,,,,,
,FALSE,ブランドやサービスに合った形になっているか,,,,,,,スマートなコーポレートサイトなどで個性的な形になりすぎていないか,,,,,,,,
パターン（模様）,FALSE,セクションやコンテンツ、タイトルバーの情報を邪魔していない濃度の模様になっているか,,,,,,,,,,,,,,,
,FALSE,適材適所なパターン配置になっているか,,,,,,,雰囲気や動きを変える目的でパターン（模様）を配置するので、単色・グラデーション背景とのバランスが大切です,,,,,,,,
,FALSE,トンマナに則したパターンになっているか,,,,,,,,,,,,,,,
画像,FALSE,トンマナに則したコントラストや色調になっているか,,,,,,,,,,,,,,,
,FALSE,フレームやシェイプを施している場合、トンマナに則した形状やデコレーションをしているか,,,,,,,,,,,,,,,
